Bảng kê tài khoản - Shopee Vietnam,,,Tóm tắt,,,,,Số Dư Cuối Kì,
Tiền Tệ:,VND,,Tiền Chuyển Vào,,Tiền Chuyển Ra,,,Bắt đầu:,11583681.0
Ngày:,2022-03-01-2022-03-07,,Số lần Giao dịch:,36,Số lần Giao dịch:,1,,Kêt thúc:,6018338.0
,,,Tổng Cộng:,6165361.0,Tổng Cộng:,11730704.0


Ngày,Chuyển đến,Thanh Toán,Mô tả,Trạng thái,Số dư
2022-03-07 09:34,Số dư TK Shopee,419856.0,Doanh Thu từ Đơn Hàng #2203041YQXJCNK,,6018338.0
2022-03-06 14:58,Số dư TK Shopee,420330.0,Doanh Thu từ Đơn Hàng #2203041X9W8XCM,,5598482.0
2022-03-06 14:15,Số dư TK Shopee,118004.0,Doanh Thu từ Đơn Hàng #220228NBP893EP,,5178152.0
2022-03-06 08:31,Số dư TK Shopee,163906.0,Doanh Thu từ Đơn Hàng #220224BW44G5CV,,5060148.0
2022-03-06 08:22,Số dư TK Shopee,163761.0,Doanh Thu từ Đơn Hàng #220227JFDJ21CJ,,4896242.0
2022-03-06 07:55,Số dư TK Shopee,346432.0,Doanh Thu từ Đơn Hàng #220225C6C37UU6,,4732481.0
2022-03-06 07:46,Số dư TK Shopee,132281.0,Doanh Thu từ Đơn Hàng #2202238F8D7H6C,,4386049.0
2022-03-06 07:42,Số dư TK Shopee,163761.0,Doanh Thu từ Đơn Hàng #220226GS0S2US7,,4253768.0
2022-03-06 07:37,Số dư TK Shopee,118882.0,Doanh Thu từ Đơn Hàng #220226GX0UT2DQ,,4090007.0
2022-03-06 07:01,Số dư TK Shopee,118671.0,Doanh Thu từ Đơn Hàng #220228NGWM3N9S,,3971125.0
2022-03-05 22:46,Số dư TK Shopee,168351.0,Doanh Thu từ Đơn Hàng #220227KCFTP81R,,3852454.0
2022-03-05 15:53,Số dư TK Shopee,254918.0,Doanh Thu từ Đơn Hàng #220228P4A3JMB3,,3684103.0
2022-03-05 15:35,Số dư TK Shopee,118026.0,Doanh Thu từ Đơn Hàng #220301R3Y0EVP5,,3429185.0
2022-03-05 13:45,Số dư TK Shopee,172941.0,Doanh Thu từ Đơn Hàng #220227KCXH3Y05,,3311159.0
2022-03-05 02:37,Số dư TK Shopee,163684.0,Doanh Thu từ Đơn Hàng #220227JWFBUSWJ,,3138218.0
2022-03-04 23:06,Số dư TK Shopee,163961.0,Doanh Thu từ Đơn Hàng #220302TCU3XV6K,,2974534.0
2022-03-04 20:35,Số dư TK Shopee,117817.0,Doanh Thu từ Đơn Hàng #220227JUF2R929,,2810573.0
2022-03-04 08:21,Số dư TK Shopee,132747.0,Doanh Thu từ Đơn Hàng #220224B73GJNDJ,,2692756.0
2022-03-04 07:29,Số dư TK Shopee,125766.0,Doanh Thu từ Đơn Hàng #220219VC89TK8K,,2560009.0
2022-03-04 07:13,Số dư TK Shopee,163904.0,Doanh Thu từ Đơn Hàng #2202213NV42JAW,,2434243.0
2022-03-04 07:05,Số dư TK Shopee,118418.0,Doanh Thu từ Đơn Hàng #220225D5G57ESY,,2270339.0
2022-03-03 18:11,Số dư TK Shopee,173425.0,Doanh Thu từ Đơn Hàng #220302TC69S0YS,,2151921.0
2022-03-03 14:32,Số dư TK Shopee,245540.0,Doanh Thu từ Đơn Hàng #220227J4REDE2Y,,1978496.0
2022-03-03 10:08,Số dư TK Shopee,118059.0,Doanh Thu từ Đơn Hàng #220224ABX02H56,,1732956.0
2022-03-03 00:27,Số dư TK Shopee,163838.0,Doanh Thu từ Đơn Hàng #22022390RCWR75,,1614897.0
2022-03-02 21:53,Số dư TK Shopee,105482.0,Doanh Thu từ Đơn Hàng #220225D2PNVTQV,,1451059.0
2022-03-02 18:15,Số dư TK Shopee,163541.0,Doanh Thu từ Đơn Hàng #220227JBG51EMP,,1345577.0
2022-03-02 16:06,Số dư TK Shopee,113414.0,Doanh Thu từ Đơn Hàng #220225CA19VYUB,,1182036.0
2022-03-02 13:56,Số dư TK Shopee,117916.0,Doanh Thu từ Đơn Hàng #220225D3RWQ57A,,1068622.0
2022-03-02 12:22,Số dư TK Shopee,146242.0,Doanh Thu từ Đơn Hàng #220225D47QQB01,,950706.0
2022-03-02 12:19,Số dư TK Shopee,127239.0,Doanh Thu từ Đơn Hàng #2202214BXA3U4F,,804464.0
2022-03-02 10:03,Số dư TK Shopee,245540.0,Doanh Thu từ Đơn Hàng #220225D646Y9WT,,677225.0
2022-03-02 08:50,Số dư TK Shopee,141872.0,Doanh Thu từ Đơn Hàng #22022389S2X59A,,431685.0
2022-03-02 07:30,Số dư TK Shopee,164036.0,Doanh Thu từ Đơn Hàng #220226GFAHU4HN,,289813.0
2022-03-01 15:06,Số dư TK Shopee,125777.0,Doanh Thu từ Đơn Hàng #220219VCWT8YTG,,125777.0
2022-03-01 11:54,Tài Khoản Ngân Hàng,-11730704.0,Rút tiền tự động,Giao dịch thành công,0.0
2022-03-01 11:08,Số dư TK Shopee,147023.0,Doanh Thu từ Đơn Hàng #220225DCWXE7VT,,11730704.0
